DEST,TE_DEST
SGF,0.43166823751178135
TYR,0.40816326530612246
HNL,0.47111088545897645
RNO,0.5546001719690455
SRQ,0.5261310452418096
CHA,0.4035388127853881
OKC,0.5260845689181768
MDT,0.48897290485192185
JMS,0.33707865168539325
CVG,0.5005862581099039
